Description,Value
Solar power generated (MW),14980045.189255998
Wind power generated (MW),192687519.742265
Power generated (MW),112188084.73179
Total power generated (MW),319855649.663311
Total power exported (MW),84234951.90613201
Power remaining after export (MW),235620697.757179
Net Export to Germany from DK1 (MW),-28314894.279169995
Net Export to Germany from DK2 (MW),-7165106.921445001
Total Net Export to Germany (MW),-35480001.200614996
Net Export to Netherlands from DK1 (MW),-13001785.002211
Net Export to Netherlands from DK2 (MW),0.0
Total Net Export to the Netherlands (MW),-13001785.002211
Net Export to Great Britain from DK1 (MW),0.0
Net Export to Great Britain from DK2 (MW),0.0
Total Net Export to Great Britain (MW),0.0
Net Export to Norway from DK1 (MW),87611465.813885
Net Export to Norway from DK2 (MW),0.0
Total Net Export to Norway (MW),87611465.813885
Net Export to Sweden from DK1 (MW),7091747.0
Net Export to Sweden from DK2 (MW),38013525.295073
Total Net Export to Sweden (MW),45105272.295073
